DATE,A939RC0A052NBEA
1929-01-01,858
1930-01-01,748
1931-01-01,623
1932-01-01,476
1933-01-01,455
1934-01-01,528
1935-01-01,583
1936-01-01,662
1937-01-01,721
1938-01-01,672
1939-01-01,713
1940-01-01,779
1941-01-01,970
1942-01-01,1231
1943-01-01,1485
1944-01-01,1623
1945-01-01,1631
1946-01-01,1611
1947-01-01,1734
1948-01-01,1874
1949-01-01,1829
1950-01-01,1979
1951-01-01,2251
1952-01-01,2343
1953-01-01,2443
1954-01-01,2409
1955-01-01,2579
1956-01-01,2676
1957-01-01,2772
1958-01-01,2768
1959-01-01,2950
1960-01-01,3006
1961-01-01,3066
1962-01-01,3243
1963-01-01,3373
1964-01-01,3573
1965-01-01,3827
1966-01-01,4146
1967-01-01,4336
1968-01-01,4695
1969-01-01,5031
1970-01-01,5246
1971-01-01,5623
1972-01-01,6109
1973-01-01,6740
1974-01-01,7241
1975-01-01,7820
1976-01-01,8609
1977-01-01,9469
1978-01-01,10585
1979-01-01,11693
1980-01-01,12570
1981-01-01,13960
1982-01-01,14405
1983-01-01,15526
1984-01-01,17093
1985-01-01,18225
1986-01-01,19071
1987-01-01,20055
1988-01-01,21434
1989-01-01,22870
1990-01-01,23901
1991-01-01,24352
1992-01-01,25452
1993-01-01,26428
1994-01-01,27742
1995-01-01,28749
1996-01-01,30033
1997-01-01,31538
1998-01-01,32913
1999-01-01,34585
2000-01-01,36419
2001-01-01,37240
2002-01-01,38122
2003-01-01,39606
2004-01-01,41857
2005-01-01,44237
2006-01-01,46369
2007-01-01,47987
2008-01-01,48330
2009-01-01,46930
2010-01-01,48303
2011-01-01,49719
2012-01-01,51388
2013-01-01,52726
2014-01-01,54543
2015-01-01,56159
2016-01-01,57420
